Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades ,Company
07-Jul-23,EQ,301.95,308,299.5,301.95,306.35,305.95,304.09,308,200.05,"59,03,712","1,79,52,67,297.95","59,876",HINDPETRO
06-Jul-23,EQ,290.05,307,290.05,290.8,301.8,301.95,301.65,307,200.05,"1,43,38,085","4,32,51,39,385.25","1,16,840",HINDPETRO
05-Jul-23,EQ,279.85,292.25,276.5,279.1,290.05,290.8,284.97,293.45,200.05,"75,69,059","2,15,69,55,819.70","89,278",HINDPETRO
04-Jul-23,EQ,286,286,276.65,283.5,279.4,279.1,279.9,293.45,200.05,"36,30,465","1,01,61,55,943.80","38,692",HINDPETRO
03-Jul-23,EQ,276,293.45,272.6,273.85,284.35,283.5,285.86,293.45,200.05,"1,56,42,966","4,47,16,70,106.85","1,04,049",HINDPETRO
30-Jun-23,EQ,269.75,275,268.15,269.1,273.5,273.85,271.89,279.5,200.05,"31,38,175","85,32,48,250.55","39,575",HINDPETRO
28-Jun-23,EQ,269.75,275,266.2,267,269.25,269.1,268.18,279.5,200.05,"25,00,355","67,05,34,115.60","35,054",HINDPETRO
27-Jun-23,EQ,272,274.65,265.85,271.15,267.5,267,269.78,279.5,200.05,"29,79,345","80,37,67,033.30","35,925",HINDPETRO
26-Jun-23,EQ,269.4,272.7,266.45,269.45,272.25,271.15,270.25,279.5,200.05,"19,16,191","51,78,46,975.65","22,802",HINDPETRO
23-Jun-23,EQ,273,274.75,265,275,269.45,269.45,269.82,279.5,200.05,"60,14,578","1,62,28,70,750.15","68,432",HINDPETRO
22-Jun-23,EQ,272.8,276,270.6,274,275.6,275,274.24,279.5,200.05,"29,58,531","81,13,55,611.05","31,258",HINDPETRO
21-Jun-23,EQ,274.2,275.3,270.55,272.95,274.1,274,273.46,279.5,200.05,"28,04,544","76,69,37,469.45","32,873",HINDPETRO
20-Jun-23,EQ,273,273.5,268.7,272.75,273,272.95,271.75,279.5,200.05,"21,60,254","58,70,48,403.75","24,563",HINDPETRO
19-Jun-23,EQ,273.45,274.4,271.05,273.4,272.3,272.75,272.84,279.5,200.05,"8,81,452","24,04,91,625.60","16,901",HINDPETRO
16-Jun-23,EQ,274,275,271,274,273.9,273.4,273.3,279.5,200.05,"36,59,902","1,00,02,60,462.70","39,521",HINDPETRO
15-Jun-23,EQ,276.25,277.75,273,275.9,273.7,274,274.86,279.5,200.05,"18,88,308","51,90,29,382.05","33,211",HINDPETRO
14-Jun-23,EQ,273.5,279.5,273.5,274.35,275.7,275.9,277,279.5,200.05,"41,26,144","1,14,29,42,869.20","54,077",HINDPETRO
13-Jun-23,EQ,275.5,277.2,272.9,273.45,274.05,274.35,274.51,278.4,200.05,"24,30,467","66,71,99,255.70","26,654",HINDPETRO
12-Jun-23,EQ,263,274.95,262.95,262.2,273.95,273.45,269.95,278.4,200.05,"49,12,351","1,32,60,75,920.05","42,673",HINDPETRO
09-Jun-23,EQ,268,268.8,261.55,265.9,262.25,262.2,264.64,278.4,200.05,"20,90,433","55,32,15,131.80","28,397",HINDPETRO
08-Jun-23,EQ,272.5,272.5,265,276.65,266.6,265.9,268.46,278.4,200.05,"79,32,888","2,12,96,56,847.45","57,764",HINDPETRO
07-Jun-23,EQ,263.3,278.4,262.85,262.35,276.15,276.65,274.52,278.4,200.05,"1,36,28,304","3,74,12,22,675.45","93,060",HINDPETRO
06-Jun-23,EQ,256.95,263.25,256.6,256.5,262.85,262.35,260.29,269,200.05,"28,59,015","74,41,75,788.65","34,867",HINDPETRO
05-Jun-23,EQ,258.15,258.85,253.3,258.55,257,256.5,255.27,269,200.05,"27,28,973","69,66,34,078.25","29,931",HINDPETRO
02-Jun-23,EQ,260.9,260.9,257.3,260.25,258.65,258.55,258.99,269,200.05,"25,41,167","65,81,25,919.65","30,614",HINDPETRO
01-Jun-23,EQ,263,267.35,259.6,260.9,260.25,260.25,263.55,269,200.05,"26,35,049","69,44,74,397.30","25,751",HINDPETRO
31-May-23,EQ,258.35,264.2,256.2,256.9,262.65,260.9,261.31,269,200.05,"1,00,30,345","2,62,10,31,248.50","45,621",HINDPETRO
30-May-23,EQ,257.7,259.35,255.55,257.7,256.95,256.9,257.14,269,200.05,"12,63,049","32,47,78,287.75","18,763",HINDPETRO
29-May-23,EQ,260,260.05,256.2,258.55,257.5,257.7,257.54,269,200.05,"7,74,477","19,94,60,869.10","12,457",HINDPETRO
26-May-23,EQ,259.95,261.9,257.55,258.1,258.3,258.55,258.81,269,200.05,"10,63,383","27,52,08,857.10","13,782",HINDPETRO
25-May-23,EQ,258,259.35,254.75,258.2,258,258.1,256.37,269,200.05,"20,88,047","53,53,22,852.50","23,665",HINDPETRO
24-May-23,EQ,263.4,264.9,257.9,263.4,258.2,258.2,260.82,269,200.05,"14,66,700","38,25,47,938.35","17,410",HINDPETRO
