Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades ,Company
07-Jul-23,EQ,366.2,370.3,361.55,365.4,363.2,363.15,365.62,370.3,97.45,"5,66,600","20,71,62,551.65","23,367",JSL
06-Jul-23,EQ,353.65,368.5,350,353.65,365,365.4,363.79,368.5,97.45,"7,67,415","27,91,78,321.65","25,813",JSL
05-Jul-23,EQ,342.75,354.9,341.5,342.15,352,353.65,351.57,354.9,97.45,"9,17,525","32,25,73,176.70","21,309",JSL
04-Jul-23,EQ,342.35,344.4,335.1,340.1,342.95,342.15,341.53,344.8,97.45,"3,09,709","10,57,74,144.60","14,134",JSL
03-Jul-23,EQ,333.8,341.8,332.6,330.4,340.5,340.1,338.79,344.8,97.45,"4,66,740","15,81,26,488.45","21,844",JSL
30-Jun-23,EQ,333,334.8,326,332.85,331.5,330.4,330.43,344.8,97.35,"3,60,293","11,90,51,462.25","15,021",JSL
28-Jun-23,EQ,330.45,339,325.2,330.2,332.65,332.85,331.88,344.8,97.35,"5,48,494","18,20,33,496.90","22,115",JSL
27-Jun-23,EQ,329.7,334.55,327.05,327.95,329,330.2,331.07,344.8,97.35,"8,62,558","28,55,69,016.35","26,653",JSL
26-Jun-23,EQ,324.75,330,322.8,324.75,329.85,327.95,325.92,344.8,97.35,"2,90,015","9,45,21,904.05","16,309",JSL
23-Jun-23,EQ,325.25,328.3,317.05,327.7,324.6,324.75,321.58,344.8,95.05,"4,94,860","15,91,39,528.10","18,737",JSL
22-Jun-23,EQ,334.1,336.9,325.65,333.45,327.75,327.7,330.9,344.8,95.05,"2,81,205","9,30,51,448.80","12,112",JSL
21-Jun-23,EQ,336.8,344.8,329.1,334,333.8,333.45,338.75,344.8,95.05,"7,40,828","25,09,58,658.85","22,931",JSL
20-Jun-23,EQ,327.95,335.3,326,327.2,334.45,334,332.38,338.45,95.05,"4,25,729","14,15,05,926.75","19,964",JSL
19-Jun-23,EQ,329.15,332.9,324,325.75,330,327.2,328.01,338.45,95.05,"3,45,440","11,33,06,273.80","11,727",JSL
16-Jun-23,EQ,335,338.45,324.4,332.5,326,325.75,329.98,338.45,95.05,"10,03,596","33,11,69,968.25","21,849",JSL
15-Jun-23,EQ,330.3,336.9,325.4,331.75,331.5,332.5,331.47,336.9,95.05,"7,43,618","24,64,84,719.85","24,544",JSL
14-Jun-23,EQ,325.2,335.4,321.3,326.9,330.6,331.75,330.01,335.4,95.05,"6,34,982","20,95,47,692.85","18,767",JSL
13-Jun-23,EQ,319.3,332,312.5,318.35,325,326.9,323.36,332,95.05,"9,52,669","30,80,50,391.35","22,572",JSL
12-Jun-23,EQ,315.45,319.7,311.6,314.85,317.55,318.35,316.49,329,95.05,"3,83,117","12,12,51,422.05","14,456",JSL
