Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades ,Company
07-Jul-23,EQ,"4,320.65","4,347.85","4,231.50","4,320.65","4,241.65","4,261.85","4,281.75","4,347.85","2,840.10","35,613","15,24,86,059.95","5,508",POWERINDIA
06-Jul-23,EQ,"4,200.00","4,345.00","4,200.00","4,218.75","4,307.20","4,320.65","4,308.03","4,345.00","2,840.10","30,776","13,25,83,791.50","6,839",POWERINDIA
05-Jul-23,EQ,"4,128.50","4,288.00","4,105.05","4,108.00","4,210.00","4,218.75","4,233.48","4,293.95","2,840.10","36,550","15,47,33,737.35","7,444",POWERINDIA
04-Jul-23,EQ,"4,158.70","4,172.40","4,100.00","4,138.05","4,105.50","4,108.00","4,135.56","4,293.95","2,840.10","7,010","2,89,90,300.85","2,584",POWERINDIA
03-Jul-23,EQ,"4,179.70","4,189.00","4,125.00","4,157.85","4,127.25","4,138.05","4,154.29","4,293.95","2,840.10","9,696","4,02,80,040.55","3,483",POWERINDIA
30-Jun-23,EQ,"4,138.55","4,185.00","4,083.70","4,117.75","4,142.00","4,157.85","4,131.77","4,293.95","2,840.10","16,102","6,65,29,723.35","4,702",POWERINDIA
28-Jun-23,EQ,"4,158.95","4,207.95","4,109.00","4,121.95","4,125.00","4,117.75","4,155.13","4,293.95","2,840.10","12,696","5,27,53,498.65","2,864",POWERINDIA
27-Jun-23,EQ,"4,153.65","4,192.45","4,090.00","4,191.75","4,103.00","4,121.95","4,120.65","4,293.95","2,840.10","23,844","9,82,52,733.75","7,778",POWERINDIA
26-Jun-23,EQ,"4,100.00","4,200.00","4,076.10","4,096.90","4,199.00","4,191.75","4,169.68","4,293.95","2,840.10","12,852","5,35,88,715.15","3,220",POWERINDIA
23-Jun-23,EQ,"4,123.40","4,239.95","4,052.55","4,123.40","4,100.00","4,096.90","4,156.13","4,293.95","2,840.10","32,309","13,42,80,417.05","6,733",POWERINDIA
22-Jun-23,EQ,"4,181.95","4,189.85","4,090.10","4,161.15","4,125.15","4,123.40","4,144.81","4,293.95","2,840.10","10,383","4,30,35,554.55","2,658",POWERINDIA
21-Jun-23,EQ,"4,137.95","4,168.00","4,084.50","4,133.90","4,164.00","4,161.15","4,141.28","4,293.95","2,840.10","14,071","5,82,71,967.25","3,277",POWERINDIA
20-Jun-23,EQ,"4,126.00","4,170.00","4,120.00","4,119.05","4,128.00","4,133.90","4,142.26","4,293.95","2,840.10","11,737","4,86,17,727.35","2,983",POWERINDIA
19-Jun-23,EQ,"4,089.95","4,155.00","4,072.30","4,069.75","4,123.00","4,119.05","4,123.57","4,293.95","2,840.10","33,162","13,67,45,793.20","5,655",POWERINDIA
16-Jun-23,EQ,"4,024.90","4,122.60","3,962.00","4,002.55","4,080.00","4,069.75","4,044.50","4,293.95","2,840.10","30,595","12,37,41,529.95","7,567",POWERINDIA
15-Jun-23,EQ,"4,090.00","4,213.65","3,977.15","4,085.05","3,992.00","4,002.55","4,083.94","4,293.95","2,840.10","38,030","15,53,12,172.70","7,916",POWERINDIA
14-Jun-23,EQ,"4,199.00","4,293.95","4,056.50","4,110.90","4,100.00","4,085.05","4,210.06","4,293.95","2,840.10","1,22,886","51,73,57,689.90","22,248",POWERINDIA
13-Jun-23,EQ,"3,901.70","4,149.00","3,901.70","3,928.70","4,135.20","4,110.90","4,056.06","4,149.00","2,840.10","55,527","22,52,20,679.40","9,714",POWERINDIA
12-Jun-23,EQ,"3,857.40","3,943.95","3,815.00","3,837.20","3,940.00","3,928.70","3,909.95","4,094.50","2,840.10","15,231","5,95,52,522.45","3,709",POWERINDIA
09-Jun-23,EQ,"3,880.35","3,985.55","3,823.55","3,914.95","3,850.00","3,837.20","3,882.08","4,094.50","2,840.10","17,972","6,97,68,785.80","3,742",POWERINDIA
08-Jun-23,EQ,"3,987.95","3,995.00","3,905.00","3,968.30","3,906.25","3,914.95","3,950.14","4,094.50","2,840.10","9,966","3,93,67,122.00","3,126",POWERINDIA
07-Jun-23,EQ,"4,000.00","4,000.00","3,948.40","3,984.65","3,960.00","3,968.30","3,966.50","4,094.50","2,840.10","9,069","3,59,72,178.35","2,767",POWERINDIA
06-Jun-23,EQ,"3,890.00","3,999.00","3,851.25","3,874.40","3,979.85","3,984.65","3,939.43","4,094.50","2,840.10","23,132","9,11,26,830.45","4,333",POWERINDIA
05-Jun-23,EQ,"3,932.10","3,963.00","3,850.00","3,911.55","3,900.00","3,874.40","3,922.66","4,094.50","2,840.10","16,055","6,29,78,364.85","4,029",POWERINDIA
02-Jun-23,EQ,"3,921.80","3,964.00","3,901.00","3,901.30","3,913.00","3,911.55","3,919.13","4,094.50","2,840.10","18,616","7,29,58,490.30","2,696",POWERINDIA
01-Jun-23,EQ,"3,861.65","3,920.00","3,839.80","3,846.45","3,909.90","3,901.30","3,876.42","4,094.50","2,840.10","14,287","5,53,82,370.70","2,818",POWERINDIA
31-May-23,EQ,"3,925.00","3,925.00","3,814.80","3,881.70","3,849.00","3,846.45","3,859.63","4,094.50","2,840.10","30,685","11,84,32,798.70","3,743",POWERINDIA
30-May-23,EQ,"3,870.00","3,905.90","3,850.00","3,867.45","3,880.00","3,881.70","3,890.10","4,094.50","2,840.10","19,795","7,70,04,493.90","2,787",POWERINDIA
29-May-23,EQ,"3,786.00","3,936.85","3,786.00","3,786.85","3,841.00","3,867.45","3,890.87","4,094.50","2,840.10","32,495","12,64,33,685.05","6,882",POWERINDIA
26-May-23,EQ,"3,800.00","3,815.05","3,758.30","3,796.15","3,780.10","3,786.85","3,792.23","4,094.50","2,840.10","26,343","9,98,98,658.65","3,263",POWERINDIA
25-May-23,EQ,"3,825.00","3,849.00","3,738.65","3,806.10","3,790.00","3,796.15","3,789.14","4,094.50","2,840.10","39,575","14,99,55,033.40","6,123",POWERINDIA
24-May-23,EQ,"4,010.00","4,064.00","3,756.00","4,002.95","3,784.00","3,806.10","3,963.68","4,094.50","2,840.10","92,714","36,74,88,844.15","8,904",POWERINDIA
23-May-23,EQ,"3,948.95","4,094.50","3,903.90","3,939.75","4,005.00","4,002.95","4,022.88","4,094.50","2,840.10","37,462","15,07,05,122.75","6,266",POWERINDIA
22-May-23,EQ,"4,051.85","4,051.85","3,925.15","4,031.95","3,944.95","3,939.75","3,983.50","4,080.00","2,840.10","18,348","7,30,89,285.35","4,826",POWERINDIA
19-May-23,EQ,"3,980.00","4,080.00","3,856.35","3,973.65","4,040.00","4,031.95","3,966.78","4,080.00","2,840.10","39,225","15,55,96,773.40","6,916",POWERINDIA
18-May-23,EQ,"3,849.50","4,038.00","3,825.15","3,815.40","3,985.00","3,973.65","3,972.08","4,038.00","2,840.10","67,153","26,67,37,245.20","9,620",POWERINDIA
17-May-23,EQ,"3,818.00","3,873.95","3,790.00","3,812.65","3,821.00","3,815.40","3,831.57","3,949.00","2,840.10","57,789","22,14,22,523.90","4,083",POWERINDIA
16-May-23,EQ,"3,929.05","3,949.00","3,803.20","3,908.55","3,810.00","3,812.65","3,844.72","3,949.00","2,840.10","49,570","19,05,82,759.60","7,184",POWERINDIA
15-May-23,EQ,"3,820.00","3,934.00","3,781.40","3,815.15","3,934.00","3,908.55","3,867.08","3,934.00","2,840.10","40,262","15,56,96,573.20","4,575",POWERINDIA
12-May-23,EQ,"3,819.85","3,869.00","3,783.70","3,803.30","3,805.00","3,815.15","3,814.66","3,915.00","2,750.10","47,573","18,14,74,984.60","3,880",POWERINDIA
11-May-23,EQ,"3,772.00","3,815.00","3,728.00","3,771.60","3,805.10","3,803.30","3,756.50","3,915.00","2,750.10","36,830","13,83,51,975.45","3,057",POWERINDIA
10-May-23,EQ,"3,744.00","3,819.95","3,708.20","3,738.60","3,760.00","3,771.60","3,759.27","3,915.00","2,750.10","44,708","16,80,69,373.10","5,609",POWERINDIA
09-May-23,EQ,"3,687.25","3,755.00","3,687.25","3,687.80","3,729.90","3,738.60","3,726.66","3,915.00","2,750.10","43,573","16,23,81,681.35","4,176",POWERINDIA
08-May-23,EQ,"3,750.05","3,810.00","3,674.90","3,729.80","3,689.20","3,687.80","3,728.21","3,915.00","2,750.10","67,010","24,98,27,491.25","11,392",POWERINDIA
05-May-23,EQ,"3,480.00","3,764.60","3,445.60","3,466.35","3,744.00","3,729.80","3,682.45","3,915.00","2,750.10","2,66,488","98,13,29,570.35","29,812",POWERINDIA
04-May-23,EQ,"3,337.00","3,482.00","3,337.00","3,355.15","3,452.00","3,466.35","3,439.30","3,915.00","2,750.10","20,445","7,03,16,439.75","3,821",POWERINDIA
03-May-23,EQ,"3,428.10","3,428.10","3,331.50","3,448.75","3,355.00","3,355.15","3,372.52","3,915.00","2,750.10","34,389","11,59,77,567.85","8,612",POWERINDIA
02-May-23,EQ,"3,325.90","3,470.00","3,310.00","3,308.50","3,415.05","3,448.75","3,388.32","3,915.00","2,750.10","58,874","19,94,84,026.00","4,979",POWERINDIA
28-Apr-23,EQ,"3,300.00","3,325.00","3,287.15","3,279.05","3,309.05","3,308.50","3,305.82","3,915.00","2,750.10","8,692","2,87,34,188.60","1,712",POWERINDIA
27-Apr-23,EQ,"3,300.00","3,319.95","3,270.00","3,289.15","3,295.00","3,279.05","3,294.57","3,915.00","2,750.10","8,173","2,69,26,486.00","1,903",POWERINDIA
