Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades ,Company
07-Jul-23,EQ,600,624.8,592.2,600.8,622.9,618.2,607.47,624.8,375.2,"2,10,66,726","12,79,73,64,224.05","2,49,477",TATAMOTORS
06-Jul-23,EQ,590.8,604.95,588.55,588.25,601,600.8,597.4,604.95,375.2,"1,43,56,681","8,57,67,30,578.00","2,22,847",TATAMOTORS
05-Jul-23,EQ,592,593,584.95,591.45,589.9,588.25,588.78,602.3,375.2,"87,15,919","5,13,17,86,266.40","1,50,738",TATAMOTORS
04-Jul-23,EQ,594.4,596.4,589.5,590.8,591.9,591.45,592.93,602.3,375.2,"69,17,886","4,10,18,00,207.05","1,17,731",TATAMOTORS
03-Jul-23,EQ,600,602.3,590,595.55,591.9,590.8,594.87,602.3,375.2,"1,11,31,048","6,62,15,39,987.55","2,11,601",TATAMOTORS
30-Jun-23,EQ,588.35,599,588,586.65,595.2,595.55,594.94,599,375.2,"1,24,88,047","7,42,96,51,079.45","2,83,716",TATAMOTORS
28-Jun-23,EQ,579,590,575.5,573.1,586,586.65,584.81,590,375.2,"1,67,20,940","9,77,85,65,684.55","2,23,026",TATAMOTORS
27-Jun-23,EQ,570,576.9,568.45,567.85,572.75,573.1,573.44,585.9,375.2,"94,04,450","5,39,29,33,906.70","1,78,988",TATAMOTORS
26-Jun-23,EQ,560,569,557.8,559.65,568.45,567.85,563.79,585.9,375.2,"69,86,621","3,93,89,56,595.10","1,17,244",TATAMOTORS
23-Jun-23,EQ,570,571.15,557.7,569.35,560.45,559.65,561.07,585.9,375.2,"93,62,695","5,25,31,15,281.10","1,69,014",TATAMOTORS
22-Jun-23,EQ,584,584.7,568.2,581.4,570.5,569.35,575.59,585.9,375.2,"1,12,29,179","6,46,34,30,994.05","1,63,564",TATAMOTORS
21-Jun-23,EQ,584.95,585.9,574.5,583.25,581.4,581.4,580.49,585.9,375.2,"91,46,332","5,30,93,69,582.50","1,41,750",TATAMOTORS
20-Jun-23,EQ,566.05,583.95,562.5,566.05,583.05,583.25,576.62,583.95,375.2,"1,80,74,902","10,42,22,84,289.60","2,37,264",TATAMOTORS
19-Jun-23,EQ,570.65,573.2,564.2,569.8,566.4,566.05,568.5,576.55,375.2,"62,80,388","3,57,03,69,796.50","1,10,083",TATAMOTORS
16-Jun-23,EQ,569.65,572.2,566.05,568.45,569.85,569.8,569.1,576.55,375.2,"87,36,313","4,97,18,28,846.75","1,24,969",TATAMOTORS
15-Jun-23,EQ,571.8,575,567.75,570.3,568.5,568.45,570.84,576.55,375.2,"1,24,75,759","7,12,17,18,474.45","1,74,201",TATAMOTORS
14-Jun-23,EQ,566,571.2,564,562.2,569.75,570.3,567.76,576.55,375.2,"1,27,13,256","7,21,80,66,743.45","1,50,717",TATAMOTORS
13-Jun-23,EQ,567.7,571.05,560.75,564.15,562.45,562.2,564.83,576.55,375.2,"1,28,45,897","7,25,57,15,972.55","2,33,002",TATAMOTORS
12-Jun-23,EQ,567,568.9,560.65,562.3,563.8,564.15,564.2,576.55,375.2,"75,99,572","4,28,76,93,145.50","1,33,928",TATAMOTORS
09-Jun-23,EQ,564.4,566.45,559.3,559.7,562.15,562.3,562.97,576.55,375.2,"93,61,533","5,27,02,60,140.50","1,30,073",TATAMOTORS
08-Jun-23,EQ,570,576.55,557,567.95,560.5,559.7,565.72,576.55,375.2,"2,15,27,339","12,17,84,37,334.20","2,55,530",TATAMOTORS
07-Jun-23,EQ,558.8,575,552.15,555.75,567.1,567.95,565.55,575,375.2,"2,08,55,239","11,79,46,18,216.50","2,52,610",TATAMOTORS
06-Jun-23,EQ,549.45,557,545.35,546.25,556.45,555.75,552.52,557,375.2,"1,53,95,092","8,50,61,65,599.65","2,01,706",TATAMOTORS
05-Jun-23,EQ,539,548.8,537.9,535.9,545.5,546.25,544.66,548.8,375.2,"1,50,08,325","8,17,44,38,010.90","3,07,401",TATAMOTORS
02-Jun-23,EQ,537,541.25,532.75,535.2,535.1,535.9,536.06,541.25,375.2,"1,22,94,728","6,59,07,30,363.10","1,58,429",TATAMOTORS
01-Jun-23,EQ,527.5,536.25,522.85,526.3,534.4,535.2,530.62,537.15,375.2,"1,25,11,265","6,63,87,55,708.10","1,81,634",TATAMOTORS
31-May-23,EQ,519.95,527.5,516.4,518.8,525,526.3,525.17,537.15,375.2,"1,23,27,284","6,47,38,76,480.20","1,27,058",TATAMOTORS
30-May-23,EQ,521.45,523.5,518,521.45,519.15,518.8,520.08,537.15,375.2,"51,34,688","2,67,04,26,378.20","86,163",TATAMOTORS
29-May-23,EQ,525,525.1,519.7,518.45,521,521.45,522.06,537.15,375.2,"65,96,504","3,44,37,91,163.95","89,053",TATAMOTORS
26-May-23,EQ,514.9,519.75,512.2,514.85,517.8,518.45,516.76,537.15,375.2,"83,60,570","4,32,04,40,656.10","1,17,543",TATAMOTORS
25-May-23,EQ,518,518,509.1,520.2,515.3,514.85,512.49,537.15,375.2,"1,15,43,712","5,91,60,52,457.85","1,71,115",TATAMOTORS
24-May-23,EQ,527.15,529.65,519.15,528.5,520.6,520.2,523.7,537.15,375.2,"76,48,284","4,00,53,69,402.50","1,34,108",TATAMOTORS
23-May-23,EQ,522.5,531,521.15,522.5,527.7,528.5,527.44,537.15,375.2,"1,22,56,902","6,46,48,33,065.30","1,93,749",TATAMOTORS
22-May-23,EQ,524.95,527,519.35,524.95,522.1,522.5,522.43,537.15,375.2,"99,78,339","5,21,29,48,685.25","2,06,397",TATAMOTORS
19-May-23,EQ,509.8,526.4,504.75,508.45,525,524.95,517.71,537.15,375.2,"1,93,43,560","10,01,44,33,487.15","2,37,137",TATAMOTORS
18-May-23,EQ,518.8,520.9,507.1,515.5,508.95,508.45,512.17,537.15,375.2,"1,22,93,322","6,29,62,90,146.05","1,39,659",TATAMOTORS
17-May-23,EQ,522.5,523.95,512.5,521.15,515.75,515.5,518.54,537.15,375.2,"1,36,84,847","7,09,61,76,117.35","2,02,405",TATAMOTORS
16-May-23,EQ,533.95,535.95,518.85,530.85,522.2,521.15,529.8,537.15,375.2,"1,65,14,882","8,74,95,83,814.50","2,88,066",TATAMOTORS
15-May-23,EQ,523.85,537.15,521.5,515.95,530.55,530.85,531.67,537.15,375.2,"3,82,70,067","20,34,71,60,068.80","4,02,779",TATAMOTORS
12-May-23,EQ,513.9,520.5,510.3,511.6,513.8,515.95,515.57,520.5,366.2,"1,97,66,717","10,19,10,90,680.00","2,09,963",TATAMOTORS
11-May-23,EQ,512,514.15,505.5,509.5,511.95,511.6,509.78,514.15,366.2,"1,14,54,020","5,83,90,72,782.55","1,82,544",TATAMOTORS
10-May-23,EQ,508,512.9,504.35,503.65,510.05,509.5,507.76,512.9,366.2,"1,24,81,404","6,33,75,56,705.05","1,42,503",TATAMOTORS
09-May-23,EQ,502,512.8,501.55,500.5,504.65,503.65,507.14,512.8,366.2,"1,98,18,780","10,05,09,56,213.60","2,52,055",TATAMOTORS
08-May-23,EQ,480,502.3,478.1,477.1,500.55,500.5,495.55,502.3,366.2,"2,35,15,333","11,65,29,35,690.85","2,62,924",TATAMOTORS
05-May-23,EQ,481.65,484.7,476.15,480.8,477.2,477.1,480.72,494.4,366.2,"48,30,674","2,32,22,02,084.75","63,390",TATAMOTORS
04-May-23,EQ,483.6,486.4,478.75,483.7,481.2,480.8,482.26,494.4,366.2,"56,50,101","2,72,47,94,302.50","67,515",TATAMOTORS
03-May-23,EQ,480.25,485.1,477.75,480.25,483.7,483.7,482.03,494.4,366.2,"85,29,233","4,11,13,72,753.10","1,61,115",TATAMOTORS
02-May-23,EQ,482.5,484,474.55,484.95,480.4,480.25,479.39,494.4,366.2,"1,15,42,592","5,53,34,23,320.75","1,39,187",TATAMOTORS
28-Apr-23,EQ,481.4,488,478.35,481.6,484.45,484.95,484.2,494.4,366.2,"99,47,813","4,81,67,04,436.65","1,06,884",TATAMOTORS
27-Apr-23,EQ,478.5,482,476.5,478.2,481,481.6,480.37,494.4,366.2,"70,85,793","3,40,37,72,971.75","1,24,267",TATAMOTORS
26-Apr-23,EQ,473,479.5,472.6,473.55,477.45,478.2,477.25,494.4,366.2,"77,91,425","3,71,84,53,016.55","1,08,326",TATAMOTORS
25-Apr-23,EQ,475.2,476.4,471.9,475.2,472.5,473.55,474.31,494.4,366.2,"68,88,352","3,26,72,00,557.75","76,271",TATAMOTORS
24-Apr-23,EQ,471.2,476,468.3,471.2,474.4,475.2,472.67,494.4,366.2,"80,20,593","3,79,10,68,991.80","1,01,946",TATAMOTORS
21-Apr-23,EQ,476.7,476.7,467.2,476.8,471.2,471.2,470.72,494.4,366.2,"84,78,118","3,99,08,28,795.90","1,07,355",TATAMOTORS
20-Apr-23,EQ,473.7,479.7,469.4,469.4,475.5,476.8,473.98,494.4,366.2,"1,42,64,206","6,76,09,45,814.45","1,72,014",TATAMOTORS
19-Apr-23,EQ,473,475.5,467.85,473,469.3,469.4,471.98,494.4,366.2,"73,68,610","3,47,78,18,420.75","1,25,485",TATAMOTORS
18-Apr-23,EQ,475,483.35,468.1,472.15,472.4,473,475.72,494.4,366.2,"1,61,40,056","7,67,82,27,613.10","1,79,632",TATAMOTORS
17-Apr-23,EQ,471,473,465.8,469.5,472,472.15,470.18,494.4,366.2,"1,07,10,167","5,03,57,29,604.95","1,24,351",TATAMOTORS
13-Apr-23,EQ,464.95,472,463.25,465.5,468.85,469.5,468.31,494.4,366.2,"1,27,33,670","5,96,33,27,152.20","1,69,558",TATAMOTORS
12-Apr-23,EQ,459.35,468.6,458.2,458.7,464.95,465.5,464.15,494.4,366.2,"1,35,52,440","6,29,03,31,375.85","1,44,949",TATAMOTORS
11-Apr-23,EQ,463.75,463.75,455.8,461.3,459.4,458.7,459.17,494.4,366.2,"1,44,95,222","6,65,57,22,381.60","2,81,916",TATAMOTORS
10-Apr-23,EQ,452.05,473.3,452,437.65,460.9,461.3,465.71,494.4,366.2,"5,04,62,653","23,50,09,60,587.70","5,10,047",TATAMOTORS
